Date,Open,High,Low,Close,Volume,Market Cap
"Dec 25, 2020",23733.57,24710.1,23463.67,24664.79,42068395846,458297232692
"Dec 26, 2020",24677.02,26718.07,24522.69,26437.04,48332647295,491250863157
"Dec 27, 2020",26439.37,28288.84,25922.77,26272.29,66479895605,488213268382
"Dec 28, 2020",26280.82,27389.11,26207.64,27084.81,49056742893,503339329917
"Dec 29, 2020",27081.81,27370.72,25987.3,27362.44,45265946774,508523687097
"Dec 30, 2020",27360.09,28937.74,27360.09,28840.95,51287442704,536033807161
"Dec 31, 2020",28841.57,29244.88,28201.99,29001.72,46754964848,539051138108
"Jan 01, 2021",28994.01,29600.63,28803.59,29374.15,40730301359,546001594838
"Jan 02, 2021",29376.46,33155.12,29091.18,32127.27,67865420765,597205944669
"Jan 03, 2021",32129.41,34608.56,32052.32,32782.02,78665235202,609409213147
"Jan 04, 2021",32810.95,33440.22,28722.76,31971.91,81163475344,594384025391
"Jan 05, 2021",31977.04,34437.59,30221.19,33992.43,67547324782,631980005970
"Jan 06, 2021",34013.61,36879.7,33514.03,36824.36,75289433811,684671246324
"Jan 07, 2021",36833.87,40180.37,36491.19,39371.04,84762141031,732062681138
"Jan 08, 2021",39381.77,41946.74,36838.64,40797.61,88107519480,758625941267
"Jan 09, 2021",40788.64,41436.35,38980.88,40254.55,61984162837,748563483043
"Jan 10, 2021",40254.22,41420.19,35984.63,38356.44,79980747690,713304617761
"Jan 11, 2021",38346.53,38346.53,30549.6,35566.66,123320567399,661457321418
"Jan 12, 2021",35516.36,36568.53,32697.98,33922.96,74773277909,630920422745
"Jan 13, 2021",33915.12,37599.96,32584.67,37316.36,69364315979,694069582194
"Jan 14, 2021",37325.11,39966.41,36868.56,39187.33,63615990033,728904366964
"Jan 15, 2021",39156.71,39577.71,34659.59,36825.37,67760757881,685005864471
"Jan 16, 2021",36821.65,37864.37,35633.55,36178.14,57706187875,673000645231
"Jan 17, 2021",36163.65,36722.35,34069.32,35791.28,52359854336,665831621391
"Jan 18, 2021",35792.24,37299.29,34883.84,36630.08,49511702429,681470030572
"Jan 19, 2021",36642.23,37755.89,36069.81,36069.81,57244195486,671081200700
"Jan 20, 2021",36050.11,36378.33,33570.48,35547.75,66834573161,661400102161
"Jan 21, 2021",35549.4,35552.68,30250.75,30825.7,75643067688,573565664943
"Jan 22, 2021",30817.63,33811.85,28953.37,33005.76,77207272511,614160521492
"Jan 23, 2021",32985.76,33360.98,31493.16,32067.64,48354737975,596733137645
"Jan 24, 2021",32064.38,32944.01,31106.69,32289.38,48643830599,600888568010
"Jan 25, 2021",32285.8,34802.74,32087.79,32366.39,59897054838,602350097075
"Jan 26, 2021",32358.61,32794.55,31030.27,32569.85,60255421470,606169260387
"Jan 27, 2021",32564.03,32564.03,29367.14,30432.55,62576762015,566417413554
"Jan 28, 2021",30441.04,33858.31,30023.21,33466.1,76517157706,622910073820
"Jan 29, 2021",34318.67,38406.26,32064.81,34316.39,117894572511,638768671362
"Jan 30, 2021",34295.94,34834.71,32940.19,34269.52,65141828798,637924573284
"Jan 31, 2021",34270.88,34288.33,32270.18,33114.36,52754542671,616452744533
"Feb 01, 2021",33114.58,34638.21,32384.23,33537.18,61400400660,624349044409
"Feb 02, 2021",33533.2,35896.88,33489.22,35510.29,63088585433,661114581664
"Feb 03, 2021",35510.82,37480.19,35443.98,37472.09,61166818159,697672910488
"Feb 04, 2021",37475.1,38592.18,36317.5,36926.06,68838074392,687542752523
"Feb 05, 2021",36931.55,38225.91,36658.76,38144.31,58598066402,710266752534
"Feb 06, 2021",38138.39,40846.55,38138.39,39266.01,71326033653,731192490093
"Feb 07, 2021",39250.19,39621.84,37446.15,38903.44,65500641143,724478833211
"Feb 08, 2021",38886.83,46203.93,38076.32,46196.46,101467222687,860342706260
"Feb 09, 2021",46184.99,48003.72,45166.96,46481.1,91809846886,865682956619
"Feb 10, 2021",46469.76,47145.57,43881.15,44918.18,87301089896,836616907527
"Feb 11, 2021",44898.71,48463.47,44187.76,47909.33,81388911810,892364856136
"Feb 12, 2021",47877.03,48745.73,46424.98,47504.85,76555041196,884874050612
"Feb 13, 2021",47491.2,48047.74,46392.28,47105.52,70250456155,877478894464
"Feb 14, 2021",47114.51,49487.64,47114.51,48717.29,71248675228,907551330153
"Feb 15, 2021",48696.54,48875.57,46347.48,47945.06,77069903166,893210080039
"Feb 16, 2021",47944.46,50341.1,47201.3,49199.87,77049582886,916623418254
"Feb 17, 2021",49207.28,52533.91,49072.38,52149.01,80820545404,971611626454
"Feb 18, 2021",52140.97,52474.11,51015.76,51679.8,52054723579,962915078024
"Feb 19, 2021",51675.98,56113.65,50937.28,55888.13,63495496918,1041380696669
"Feb 20, 2021",55887.34,57505.23,54626.56,56099.52,68145460026,1045371087640
"Feb 21, 2021",56068.57,58330.57,55672.61,57539.94,51897585191,1072263294725
"Feb 22, 2021",57532.74,57533.39,48967.57,54207.32,92052420332,1010205212981
"Feb 23, 2021",54204.93,54204.93,45290.59,48824.43,106102492824,909925854460
"Feb 24, 2021",48835.09,51290.14,47213.5,49705.33,63695521388,926393090751
"Feb 25, 2021",49709.08,51948.97,47093.85,47093.85,54506565949,877766126138
"Feb 26, 2021",47180.46,48370.79,44454.84,46339.76,350967941479,863752275053
"Feb 27, 2021",46344.77,48253.27,45269.03,46188.45,45910946382,860978135421
"Feb 28, 2021",46194.02,46716.43,43241.62,45137.77,53443887451,841428977515
"Mar 01, 2021",45159.5,49784.02,45115.09,49631.24,53891300112,925235527882
"Mar 02, 2021",49612.11,50127.51,47228.85,48378.99,47530897720,901933683269
"Mar 03, 2021",48415.81,52535.14,48274.32,50538.24,53220811975,942236576905
"Mar 04, 2021",50522.31,51735.09,47656.93,48561.17,52343816680,905414104807
"Mar 05, 2021",48527.03,49396.43,46542.51,48927.3,48625928883,912285065720
