high,low,volume,close,open,time
766.52,724.7345,15049036.0,749.5,763.8,1583298000
745.75,718.07,10854217.0,724.54,723.77,1583384400
707.0,684.27,12663318.0,703.48,692.0,1583470800
662.998,605.0,17103201.0,608.0,607.56,1583726400
668.0,608.0,15594488.0,645.33,659.18,1583812800
653.58,613.0,13458045.0,634.23,640.01,1583899200
594.5,546.25,18922114.0,560.55,580.5,1583985600
607.57,502.0,22641801.0,546.62,595.0,1584072000
494.8699,442.17,20501540.0,445.07,468.5,1584331200
471.85,396.0,24042296.0,430.2,440.01,1584417600
404.86,350.51,23789229.0,361.22,390.0,1584504000
452.0,358.46,30218080.0,427.64,374.01,1584590400
477.0,425.79,28292502.0,427.53,438.73,1584676800
441.9999,410.5,16494149.0,434.29,432.41,1584936000
513.69,474.0,22932710.0,505.0,477.5,1585022400
557.0,511.11,21222815.0,539.25,545.99,1585108800
560.0,512.25,17427963.0,528.16,549.75,1585195200
525.8,494.03,14382139.0,514.36,504.28,1585281600
516.6471,491.23,11998474.0,502.13,510.26,1585540800
542.96,497.0,17836295.0,524.0,501.25,1585627200
513.9548,475.1,13357018.0,481.56,504.0,1585713600
494.2599,446.4,19858727.0,454.47,481.28,1585800000
515.49,468.3901,22562279.0,480.01,509.77,1585886400
521.0,497.96,14951936.0,516.24,511.49,1586145600
565.0,532.34,17919978.0,545.45,545.0,1586232000
557.2081,533.33,12656024.0,548.84,553.5,1586318400
575.1818,557.11,13650000.0,573.0,562.27,1586404800
652.0,580.53,22475444.0,650.95,591.03,1586750400
741.88,692.43,30576667.0,709.89,698.65,1586836800
753.13,710.0,23659403.0,729.83,741.49,1586923200
759.45,706.715,20657864.0,745.21,716.41,1587009600
774.95,747.66,13128243.0,753.89,772.92,1587096000
765.57,712.21,14752777.0,746.36,732.7,1587355200
753.33,673.79,20221693.0,686.72,729.2,1587441600
734.0,688.71,14224832.0,732.11,702.03,1587528000
734.0,703.13,13236698.0,705.63,727.05,1587614400
730.73,698.18,13237637.0,725.15,710.81,1587700800
799.49,735.0,20681442.0,798.75,737.61,1587960000
805.0,756.69,15222719.0,769.12,795.3,1588046400
803.1999,783.16,16223632.0,800.51,791.68,1588132800
